name,slug,description,assets,facets ,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Absolute,absolute,Absolute,absolute.webp,category:pesticides|company:greenlife|type:inputs ,Ml,100,A2024020800001,666,zero,100,,,
Acteric,acteric,Acteric,acteric.png,category:insecticides|category:livestock products|company:twiga|type:inputs,Grams,10,A2024020800015,50,zero,100,,,
Acteclic Dust,acteclic-dust,Acteclic Dust,acteclic-dust.jpg,category:others|company:syngenta|type:inputs,Grams,50,A2024020800004,580,zero,100,,,
,,,,,Grams,2000,A2024020800005,2230,zero,100,,,
Aerine,aerine,Aerine,aerine.jpg,category:herbicide|company:bayer monsanto|type:inputs,Litre,5,A2024020800022,2200,zero,100,,,
Agrigrow,agrigrow,Agrigrow,agrigrow.jpg,category:foliar|company:agrichem africa ltd|type:inputs,Grams,250,A2024020800030,150,zero,100,,,
Agromaster,agromaster,Agromaster,agromaster.webp,category:fertilizers|company:icl|type:inputs,Litre,5,A2024020800039,3000,zero,100,,,
Agromax,agromax,Agromax,agromax.webp,category:pesticides|company:agrosolutions (k) ltd.|type:inputs,Grams,250,A2024020800040,430,zero,100,,,
Agrimec,agrimec,Agrimec,agrimec.jpeg,category:pesticides|company:kenagro supplies ltd|type:inputs,Ml,100,A2024020800034,270,zero,100,,,
,,,,,Kg,50,A2024020800035,170,zero,100,,,
Avocado Seedlings,avocado-seedlings,Avocado Seedlings,avocado-seedlings.webp,category:seedlings|company:greenland seedling|type:inputs,Pieces,1,A2024020800112,150,zero,100,,,
Axe,axe,Axe,axe.jpg,category:others|company:jogoo kenya|type:inputs,. Pieces,3,A2024020800113,650,zero,100,,,
B Safi,b-safi,B Safi,b-safi.webp,,Ml,500,B2024020800118,1150,zero,100,,,
Batalion,batalion,Batalion,batalion.jpg,category:pesticides|company:arista|type:inputs,Ml,50,B2024020800130,90,zero,100,,,
Beansclean,beansclean,Beansclean,beansclean.jpg,category:pesticides|company:hanzhou ea|type:inputs,Kg,10,B2024020800140,350,zero,100,,,
,,,,,Ml,500,B2024020800141,700,zero,100,,,
Batisa,batisa,Batisa,batisa.jpg,,Grams,100,B2024020800131,290,zero,100,,,
Bean Seeds,bean-seeds,Bean Seeds,bean-seeds.jpg,category:seeds|company:dryland seeds|type:inputs,Kg,20,B2024020800132,180,zero,100,,,
Beancare,beancare,Beancare,beancare.jpg,category:herbicide|company:best field ea|type:inputs,Litre,1,B2024020800133,1700,zero,100,,,
Beans Cereals,beans-cereals,Beans Cereals,beans-cereals.jpg,category:innoculant|company:lakaam farmers centre|type:inputs,Bags,90,B2024020800136,8000,zero,100,,,
Beans Clea,beans-clea,Beans Clea,beans-clea.jpg,category:herbicide|company:hanzhou ea|type:inputs,Litre,1,B2024020800137,1250,zero,100,,,
C5 Onion,c5-onion,C5 Onion,c5-onion.jpg,,Grams,500,C2024020800193,2700,zero,100,,,
Cabbage,cabbage,Cabbage,cabbage.webp,,Grams,35,C2024020800194,2800,zero,100,,,
Cabbage Copenhagen,cabbage-copenhagen,Cabbage Copenhagen,cabbage-copenhagen.jpg,category:seeds|company:simlaw|type:inputs,Grams,50,C2024020800195,112,zero,100,,,
Chicken Mash,chicken-mash,Chicken Mash,chicken-mash.jpg,category:others|company:ken broiler|type:inputs,Bags,30,C2024020800258,280,zero,100,,,
,,,,,Kg,5,C2024020800259,220,zero,100,,,
Calboro,calboro,Calboro,calboro.webp,category:foliar|company:chema|type:inputs,Litre,500,C2024020800196,650,zero,100,,,
Calfoset Injection,calfoset-injection,Calfoset Injection,calfoset-injection.jpg,category:livestock products|company:medisel k ltd|type:inputs,Ml,100,C2024020800198,330,zero,100,,,
Cuprocaffaro,cuprocaffaro,Cuprocaffaro,cuprocaffaro.jpg,category:pesticides|company:arysta lifescience|type:inputs,Kg,2,C2024020800306,1600,zero,100,,,
,,,,,Litre,1,C2024020800307,1600,zero,100,,,
Cyclotron,cyclotron,Cyclotron,cyclotron.png,,Ml,100,C2024020800311,230,zero,100,,,
Dry Maize Stalks,dry-maize-stalks,Dry Maize Stalks,dry-maize-stalks.webp,category:others|company:local farmer|type:inputs,Acres,1,D2024020800408,1000,zero,100,,,
Dual Deep,dual-deep,Dual Deep,dual-deep.jpg,category:livestock products|company:noorwbrook|type:inputs,Ml,40,D2024020800409,200,zero,100,,,
Dithane Murphy,dithane-murphy,Dithane Murphy,dithane-murphy.jpg,,Pieces,500,D2024020800392,420,zero,100,,,
,,,,,Grams,50,D2024020800393,64,zero,100,,,
Duduthine,duduthine,Duduthine,duduthine.webp,category:pesticides|company:highchem|type:inputs,Pieces,50,D2024020800411,100,zero,100,,,
Easeed Garden,easeed-garden,Easeed Garden,easeed-garden.jpg,category:others|company:east africa seed|type:inputs,Litre,1,E2024020800425,225,zero,100,,,
