name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Feed formulation,feed-formulation,Feed formulation,https://fishfeedmachinery.com/wp-content/uploads/2018/04/Fish-Feed-Raw-Materials-and-Nutritional-Feed-Formulation.jpg,category:feed formulation|type:services|selecttype:livestock,Others,1,SP2024021400001,2000,zero,100,,,
Feeding equipment,feeding-equipment,Feeding equipment,https://m.media-amazon.com/images/I/61YJluVrBGL.jpg,category:feeding equipment|type:services|selecttype:livestock,Others,1,SP2024021400002,2500,zero,100,,,
Spraying,spraying,Spraying,https://img.freepik.com/premium-vector/farmer-spraying-insectide-field-from-his-spray-tank_642458-778.jpg?w=360,category:spraying|type:services|selecttype:livestock,Acres,1,SP2024021400003,500,zero,100,,,
Transportation,transportation,Transportation,https://www.20cube.com/wp-content/uploads/Choose-the-right-mode-of-transportation-for-your-cargo.jpg,category:transportation|type:services|selecttype:livestock,Others,1,SP2024021400004,3223,zero,100,,,
Chopping,chopping,Chopping,https://img.buzzfeed.com/buzzfeed-static/static/2016-09/21/12/asset/buzzfeed-prod-fastlane02/sub-buzz-3956-1474474531-1.jpg,category:chopping|type:services|selecttype:crops,Acres,1,SP2024021400005,3000,zero,100,,,
Cropcuts,cropcuts,Cropcuts,https://qph.cf2.quoracdn.net/main-qimg-836a3a3ec78e6aa467ca9feebb681f8b-lq,category:cropcuts|type:services|selecttype:crops,Acres,1,SP2024021400006,2000,zero,100,,,
Harrowing,harrowing,Harrowing,https://www.forigo.it/hubfs/Erpicatura---copertinaENG.png,category:harrowing|type:services|selecttype:crops,Acres,1,SP2024021400007,4000,zero,100,,,
Harvester,harvester,Harvester,https://www.deere.co.in/assets/images/region-1/Misc/w70-synchrosmart-combine-harvester.jpg,category:harvester|type:services|selecttype:crops,Acres,1,SP2024021400008,2000,zero,100,,,
Irrigation,irrigation,Irrigation,https://cdn.britannica.com/35/157635-050-69B43759/Irrigation-sprinklers.jpg,category:irrigation|type:services|selecttype:crops,Others,1,SP2024021400009,3000,zero,100,,,
Planting,planting,Planting,https://plantlet.org/wp-content/uploads/2020/08/maxresdefault.jpg,category:planting|type:services|selecttype:crops,Acres,1,SP2024021400010,4000,zero,100,,,
Ploughing,ploughing,Ploughing,"https://media.sciencephoto.com/image/e7701872/800wm/E7701872-Farmer_ploughing_a_field,_India.jpg",category:ploughing|type:services|selecttype:crops,Acres,1,SP2024021400011,3000,zero,100,,,
Ridging,ridging,Ridging,https://www.researchgate.net/profile/Claus-Sorensen/publication/266850230/figure/fig1/AS:295566526435328@1447479959260/The-prototype-machine-for-ridging-and-sowing-in-one-operation.png,category:ridging|type:services|selecttype:crops,Acres,1,SP2024021400012,2500,zero,100,,,
Ripping,ripping,Ripping,https://thumbs.dreamstime.com/b/woman-hand-ripping-white-paper-gray-background-close-up-50066553.jpg,category:ripping|type:services|selecttype:crops,Others,1,SP2024021400013,3500,zero,100,,,
,,,,,Acres,1,SP2024021400014,1100,zero,100,,,
Rotavation,rotavation,Rotavation,https://www.agrifarming.in/wp-content/uploads/2020/01/Comp1-9.jpg,category:rotavation|type:services|selecttype:crops,Acres,1,SP2024021400015,3500,zero,100,,,
Shelling,shelling,Shelling,https://edisonbeachhouse.com/wp-content/uploads/2022/05/Sanibel-Island-Shelling.jpg,category:shelling|type:services|selecttype:crops,Kg,1,SP2024021400016,200,zero,100,,,
Silage cutting,silage-cutting,Silage cutting,https://stmaaprodfwsite.blob.core.windows.net/assets/sites/1/2018/04/230418-Self-propelled-forager-collecting-grass-for-silage.jpg,category:silage cutting|type:services|selecttype:crops,Acres,1,SP2024021400017,30000,zero,100,,,
,,,,,Others,1,SP2024021400018,15000,zero,100,,,
Soil Testing,soil-testing,Soil Testing,https://cdn.wikifarmer.com/wp-content/uploads/2022/10/Corn-silage.jpg,category:soil testing|type:services|selecttype:crops,Samples,1,SP2024021400019,854,zero,100,,,
Spraying,spraying,Spraying,https://img.freepik.com/premium-vector/farmer-spraying-insectide-field-from-his-spray-tank_642458-778.jpg?w=360,category:spraying|type:services|selecttype:crops,Acres,1,SP2024021400020,500,zero,100,,,
,,,,,Others,1,SP2024021400021,600,zero,100,,,
,,,,,Spraying,1,SP2024021400022,450,zero,100,,,
,,,,,Pumps,1,SP2024021400023,100,zero,100,,,
Threshing,threshing,Threshing,https://image.slidesharecdn.com/13threshing-210223105407/85/threshing-8-320.jpg?cb=1666875806,category:threshing|type:services|selecttype:crops,Bags,1,SP2024021400024,400,zero,100,,,
Chiseling,chiseling,Chiseling,https://cdn.shopify.com/s/files/1/0583/8992/1999/files/Downloader.la_-640f7d2202084_600x600.jpg?v=1678736699,category:chiseling|type:services|selecttype:others,Others,1,SP2024021400025,1800,zero,100,,,
Sale of Livestock,sale-of-livestock,Sale of Livestock,https://media.istockphoto.com/id/595724762/photo/lots-of-cattle-heaped-up-in-a-corral-in-argentina.jpg?s=612x612&w=0&k=20&c=uECuYCptwLKOzF9xkdki46DxUlJs9hbEp65IuPrQPJg=,category:sale of livestock|type:services|selecttype:others,Others,1,SP2024021400028,5000,zero,100,,,
Transportation,transportation,Transportation,https://e7.pngegg.com/pngimages/39/211/png-clipart-vehicle-rail-transport-cargo-logistics-freight-transport-logistic-service-people-thumbnail.png,category:transportation|type:services|selecttype:others,Kms,1,SP2024021400029,3223,zero,100,,,
